,Headline,Link
0,['Freeland ‘very sad’ about Philpott resignation over SNC-Lavalin affair defends Trudeau as ‘feminist’'],'https://news.google.com/articles/CAIiEFGjetFajGHVwZrDDityiQMqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU�
1,['Liberal support erodes in 2 key demographics as SNC-Lavalin affair grinds on'],['https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3RoZW5hdGlvbmFsL25hdGlvbmFsLXRvZGF5LW5ld3NsZXR0ZXItdHJ1ZGVhdS1waGlscG90dC1waWN0b3UtbWlsbC0xLjUwMzY5NzTSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwMzY5NzQ_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU']
2,['SNC-Lavalin: Did Justin Trudeau break the law?'],['https://news.google.com/articles/CBMiT2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHTSAZwBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHQvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl']
3,['Trudeau considering a statement of contrition over SNC-Lavalin'],['https://news.google.com/articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjCT1B0']
4,['Why does Trudeau seem to be always caught off guard?'],['https://news.google.com/articles/CAIiEE-qnWHgGC7_oU-8ujH4Vo4qFggEKg4IACoGCAow6bV4MPfJDDCtvTk']
5,['Barack Obama speaks to Calgary crowd'],['https://news.google.com/articles/CBMiTmh0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9sb2NhbC1uZXdzL2JhcmFjay1vYmFtYS1zcGVha3MtdG8tY2FsZ2FyeS1jcm93ZNIBnAFodHRwczovL2NhbGdhcnloZXJhbGQtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9sb2NhbC1uZXdzL2JhcmFjay1vYmFtYS1zcGVha3MtdG8tY2FsZ2FyeS1jcm93ZC9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU']
6,['Barack Obama speaks to full house in Winnipeg leaves fans inspired'],['https://news.google.com/articles/CAIiEAVKuESDVzrL6Y9sCiCR660qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU']
7,['Barack Obama speaks to Calgarians about oil and gas climate change'],['https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2JhcmFjay1vYmFtYS1jYWxnYXJ5LXNwZWVjaC0xLjUwNDM1MTnSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDM1MTk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU']
8,"[""Obama questions America\\'s ability to stave off crisis in otherwise cheery laid back speech to Winnipeg crowd""]",['https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tYW5pdG9iYS9iYXJhY2stb2JhbWEtc3BlZWNoLXdpbm5pcGVnLTEuNTA0Mjg3ONIBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTA0Mjg3OD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
9,['Breakenridge: What might have been if Obama had approved Keystone XL'],['https://news.google.com/articles/CBMicGh0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2JyZWFrZW5yaWRnZS13aGF0LW1pZ2h0LWhhdmUtYmVlbi1pZi1vYmFtYS1oYWQtYXBwcm92ZWQta2V5c3RvbmUteGzSAb4BaHR0cHM6Ly9jYWxnYXJ5aGVyYWxkLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2NhbGdhcnloZXJhbGQuY29tL29waW5pb24vY29sdW1uaXN0cy9icmVha2VucmlkZ2Utd2hhdC1taWdodC1oYXZlLWJlZW4taWYtb2JhbWEtaGFkLWFwcHJvdmVkLWtleXN0b25lLXhsL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
10,['OPP veteran says firing by Ford government is ‘reprisal’ for Taverner lawsuit'],['https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtb3BwLXZldGVyYW4tc2F5cy1maXJpbmctYnktZm9yZC1nb3Zlcm5tZW50LWlzLXJlcHJpc2FsLWZvci10YXZlcm5lci_SAccBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9jYW5hZGEvYXJ0aWNsZS1vcHAtdmV0ZXJhbi1zYXlzLWZpcmluZy1ieS1mb3JkLWdvdmVybm1lbnQtaXMtcmVwcmlzYWwtZm9yLXRhdmVybmVyLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
11,"[""Former senior OPP officer alleges \\'reprisal\\' reason he was fired""]",['https://news.google.com/articles/CBMic2h0dHBzOi8vdG9yb250b3N1bi5jb20vbmV3cy9wcm92aW5jaWFsL2ZpcmVkLW9wcC1zZW5pb3Itb2ZmaWNlci1hbGxlZ2VzLXJlcHJpc2FsLWZvci1jb25jZXJucy1hYm91dC1mb3JkLWZyaWVuZC1qb2LSAb4BaHR0cHM6Ly90b3JvbnRvc3VuLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3Rvcm9udG9zdW4uY29tL25ld3MvcHJvdmluY2lhbC9maXJlZC1vcHAtc2VuaW9yLW9mZmljZXItYWxsZWdlcy1yZXByaXNhbC1mb3ItY29uY2VybnMtYWJvdXQtZm9yZC1mcmllbmQtam9iL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
