	Headline	sentiment	Link
0	\'Nothing happened here beyond normal operations of government\': Butts speaks out on SNC-Lavalin affair	positive	https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2J1dHRzLXNuYy1sYXZhbGluLXdpbHNvbi1yYXlib3VsZC0xLjUwNDQ3MDTSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDQ3MDQ_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
1	Gerald Butts\' testimony on SNC-Lavalin: PM\'s ex-adviser has \'very different recollection\' of crucial meeting	neutral	https://news.google.com/articles/CBMiWWh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3BvbGl0aWNzL2dlcmFsZC1idXR0cy1saXZlLXRlc3RpbW9ueS1zbmMtbGF2YWxpbi1saXZlc3RyZWFt0gGmAWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9wb2xpdGljcy9nZXJhbGQtYnV0dHMtbGl2ZS10ZXN0aW1vbnktc25jLWxhdmFsaW4tbGl2ZXN0cmVhbS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
2	Trudeau considering a statement of contrition over SNC-Lavalin	neutral	https://news.google.com/articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
3	Why does Trudeau seem to be always caught off guard?	neutral	https://news.google.com/articles/CAIiEE-qnWHgGC7_oU-8ujH4Vo4qFggEKg4IACoGCAow6bV4MPfJDDCtvTk
4	Trudeau\'s only way out of the SNC-Lavalin crisis is to offer Canadians a full explanation	positive	https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vcG9saXRpY3MvYXJ0aWNsZS10cnVkZWF1cy1vbmx5LXdheS1vdXQtb2YtdGhlLXNuYy1sYXZhbGluLWNyaXNpcy1pcy10by1vZmZlci1jYW5hZGlhbnMv0gEA
5	U.S. hopes to force Meng Wanzhou to spill on Huawei say former federal prosecutors	neutral	https://news.google.com/articles/CAIiEC2NJx3GUVtbRqQxnGr8QoQqFggEKg4IACoGCAow6bV4MPfJDDCtvTk
6	Meng Wanzhou appears in B.C. court for extradition hearing date	neutral	https://news.google.com/articles/CAIiEGfi0j3BJLZS8jV-nwpbnwIqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
7	Arrested Huawei executive Meng Wanzhou returns to B.C. court today	neutral	https://news.google.com/articles/CAIiEKExfgiZiaD8FXLWYhj6B6EqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
8	The stakes just went up in Canada’s conflict with China - so what is the end game?	negative	https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLXRoZS1zdGFrZXMtanVzdC13ZW50LXVwLWluLW91ci1jb25mbGljdC13aXRoLWNoaW5hLXNvLXdoYXQtaXMtdGhlL9IBxgFodHRwczovL3d3dy10aGVnbG9iZWFuZG1haWwtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vYW1wL29waW5pb24vYXJ0aWNsZS10aGUtc3Rha2VzLWp1c3Qtd2VudC11cC1pbi1vdXItY29uZmxpY3Qtd2l0aC1jaGluYS1zby13aGF0LWlzLXRoZS8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
9	Huawei’s Meng Wanzhou could get hearing date or go on offensive Wednesday	neutral	https://news.google.com/articles/CAIiEBXJv5qnczE41hcStgGlNCUqFggEKg4IACoGCAow6bV4MPfJDDCtvTk
10	Liberals\' feminist agenda undermined by their reaction to cabinet resignations: opposition	neutral	https://news.google.com/articles/CBMib2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3BvbGl0aWNzL3dpbHNvbi1yYXlib3VsZC1hbmQtcGhpbHBvdHQtZGVwYXJ0dXJlcy1kby1ub3QtYWZmZWN0LWZlbWluaXN0LWFnZW5kYS1uZ9IBvAFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3MvcG9saXRpY3Mvd2lsc29uLXJheWJvdWxkLWFuZC1waGlscG90dC1kZXBhcnR1cmVzLWRvLW5vdC1hZmZlY3QtZmVtaW5pc3QtYWdlbmRhLW5nL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
11	Jane Philpott Resignation Leaves Some Liberal MPs \'Sad\' But Not Surprised	negative	https://news.google.com/articles/CAIiEPCoYDXbk87deYLEVKIK-2gqFwgEKg8IACoHCAow1qfAAjCkrz8w8NBI
12	Kelly McParland: Justin Trudeau wanted strong women. He sure got \'em	positive	https://news.google.com/articles/CBMiYmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL2tlbGx5LW1jcGFybGFuZC1qdXN0aW4tdHJ1ZGVhdS13YW50ZWQtc3Ryb25nLXdvbWVuLWhlLXN1cmUtZ290LWVt0gGvAWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vb3Bpbmlvbi9rZWxseS1tY3BhcmxhbmQtanVzdGluLXRydWRlYXUtd2FudGVkLXN0cm9uZy13b21lbi1oZS1zdXJlLWdvdC1lbS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
13	High-profile resignations a \'blow\' to PM beset by questions about SNC-Lavalin	positive	https://news.google.com/articles/CAIiEIAQQDCdNCu3V4CUDUheAmoqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
14	Cohen: Philpott and Wilson-Raybould have put the achievements of the Trudeau government at real risk	positive	https://news.google.com/articles/CBMijAFodHRwczovL290dGF3YWNpdGl6ZW4uY29tL29waW5pb24vY29sdW1uaXN0cy9jb2hlbi1waGlscG90dC1hbmQtd2lsc29uLXJheWJvdWxkLWhhdmUtcHV0LXRoZS1hY2hpZXZlbWVudHMtb2YtdHJ1ZGVhdS1nb3Zlcm5tZW50LWF0LXJlYWwtcmlza9IB2gFodHRwczovL290dGF3YWNpdGl6ZW4tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvb3R0YXdhY2l0aXplbi5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2NvaGVuLXBoaWxwb3R0LWFuZC13aWxzb24tcmF5Ym91bGQtaGF2ZS1wdXQtdGhlLWFjaGlldmVtZW50cy1vZi10cnVkZWF1LWdvdmVybm1lbnQtYXQtcmVhbC1yaXNrL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
15	China says pest concerns justify ban on Canadian canola	neutral	https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NoaW5hLWp1c3RpZmllcy1jYW5hZGlhbi1jYW5vbGEtYmFuLTEuNTA0NDY2MdIBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTA0NDY2MT9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
16	Contracts for Calgary west ring road finalized; entire project to be completed by 2022	neutral	https://news.google.com/articles/CBMif2h0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9sb2NhbC1uZXdzL2NvbnRyYWN0cy1mb3ItY2FsZ2FyeS13ZXN0LXJpbmctcm9hZC1maW5hbGl6ZWQtZW50aXJlLXByb2plY3QtdG8tYmUtY29tcGxldGVkLWJ5LTIwMjLSAc0BaHR0cHM6Ly9jYWxnYXJ5aGVyYWxkLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2NhbGdhcnloZXJhbGQuY29tL25ld3MvbG9jYWwtbmV3cy9jb250cmFjdHMtZm9yLWNhbGdhcnktd2VzdC1yaW5nLXJvYWQtZmluYWxpemVkLWVudGlyZS1wcm9qZWN0LXRvLWJlLWNvbXBsZXRlZC1ieS0yMDIyL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
17	Complete Calgary ring road on horizon after contracts awarded	positive	https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2NhbGdhcnktd2VzdC1jYWxnYXJ5LXJpbmctcm9hZC0xLjUwNDQwMTnSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDQwMTk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
18	Construction on west section of ring road expected to start in spring	negative	https://news.google.com/articles/CBMiamh0dHBzOi8vY2FsZ2FyeS5jdHZuZXdzLmNhL2NvbnN0cnVjdGlvbi1vbi13ZXN0LXNlY3Rpb24tb2YtcmluZy1yb2FkLWV4cGVjdGVkLXRvLXN0YXJ0LWluLXNwcmluZy0xLjQzMjMyNzLSAYUBaHR0cHM6Ly9iZXRhLWN0dm5ld3MtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9iZXRhLmN0dm5ld3MuY2EvbG9jYWwvY2FsZ2FyeS8yMDE5LzMvNS8xXzQzMjMyNzIuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
19	I Got Fired Because I Challenged Ford Friend\'s Hiring: Brad Blair	neutral	https://news.google.com/articles/CAIiEMPGx37DPC5AFkonmEuI9JUqGAgEKg8IACoHCAow1qfAAjCkrz8w18vGBQ
